"","age","degree","race","age_cat","sex","priors_count","score_num","two_year_recid"
"1792",25,"Felony","African-American","25 - 45","Male",0,7,1
"1798",20,"Felony","African-American","Less than 25","Male",0,9,1
"1799",29,"Felony","African-American","25 - 45","Male",4,8,0
"1802",46,"Felony","African-American","Greater than 45","Female",4,4,0
"1803",46,"Felony","African-American","Greater than 45","Female",0,1,0
"1804",29,"Felony","African-American","25 - 45","Male",12,10,1
"1806",25,"Felony","African-American","25 - 45","Female",5,7,0
"1807",23,"Felony","African-American","Less than 25","Male",2,7,0
"1812",51,"Misdemeanor","African-American","Greater than 45","Male",4,2,0
"1814",55,"Felony","African-American","Greater than 45","Male",21,6,1
"1817",27,"Misdemeanor","African-American","25 - 45","Male",0,2,0
"1819",21,"Felony","African-American","Less than 25","Male",1,10,1
"1820",37,"Felony","African-American","25 - 45","Male",26,10,1
"1821",21,"Felony","African-American","Less than 25","Male",1,9,1
"1822",21,"Felony","African-American","Less than 25","Male",0,6,0
"1823",25,"Felony","African-American","25 - 45","Male",4,10,1
"1824",27,"Felony","African-American","25 - 45","Female",3,5,1
"1828",46,"Felony","African-American","Greater than 45","Male",5,5,1
"1830",43,"Felony","African-American","25 - 45","Male",18,4,1
"1831",38,"Felony","African-American","25 - 45","Male",15,6,0
"1832",29,"Felony","African-American","25 - 45","Male",0,4,0
"1833",37,"Misdemeanor","African-American","25 - 45","Male",8,2,1
"1839",29,"Felony","African-American","25 - 45","Male",3,2,1
"1840",30,"Misdemeanor","African-American","25 - 45","Female",0,2,0
"1842",40,"Felony","African-American","25 - 45","Male",3,2,0
"1853",22,"Felony","African-American","Less than 25","Male",0,4,1
"1854",30,"Misdemeanor","African-American","25 - 45","Male",4,8,1
"1856",33,"Felony","African-American","25 - 45","Male",4,10,0
"1858",26,"Felony","African-American","25 - 45","Male",3,10,1
"1859",51,"Felony","African-American","Greater than 45","Male",1,1,0
"1862",32,"Felony","African-American","25 - 45","Male",14,8,1
"1863",22,"Misdemeanor","African-American","Less than 25","Male",0,6,0
"1865",38,"Misdemeanor","African-American","25 - 45","Male",37,7,1
"1866",23,"Felony","African-American","Less than 25","Male",2,6,0
"1867",42,"Misdemeanor","African-American","25 - 45","Male",0,1,1
"1868",38,"Felony","African-American","25 - 45","Male",2,7,1
"1870",36,"Felony","African-American","25 - 45","Female",7,3,1
"1871",36,"Misdemeanor","African-American","25 - 45","Male",0,3,1
"1872",31,"Felony","African-American","25 - 45","Male",1,1,0
"1873",28,"Felony","African-American","25 - 45","Female",3,4,1
"1874",28,"Felony","African-American","25 - 45","Male",1,2,1
"1875",43,"Felony","African-American","25 - 45","Male",0,4,0
"1876",40,"Felony","African-American","25 - 45","Male",1,1,0
"1877",31,"Felony","African-American","25 - 45","Male",15,9,1
"1878",54,"Felony","African-American","Greater than 45","Male",6,7,1
"1879",24,"Felony","African-American","Less than 25","Male",17,9,1
"1881",21,"Felony","African-American","Less than 25","Male",1,9,1
"1883",22,"Felony","African-American","Less than 25","Male",0,3,0
"1886",45,"Felony","African-American","Greater than 45","Female",1,4,0
"1887",29,"Misdemeanor","African-American","25 - 45","Male",1,2,1
"1888",46,"Felony","African-American","Greater than 45","Male",10,5,1
"1891",52,"Misdemeanor","African-American","Greater than 45","Male",1,1,1
"1893",29,"Misdemeanor","African-American","25 - 45","Female",9,8,1
"1895",31,"Felony","African-American","25 - 45","Male",10,6,1
"1898",47,"Misdemeanor","African-American","Greater than 45","Male",0,5,0
"1899",21,"Felony","African-American","Less than 25","Male",3,10,1
"1900",35,"Felony","African-American","25 - 45","Male",13,10,0
"1901",46,"Misdemeanor","African-American","Greater than 45","Male",3,1,1
"1902",34,"Felony","African-American","25 - 45","Male",5,4,1
"1903",52,"Felony","African-American","Greater than 45","Male",2,1,0
"1907",22,"Misdemeanor","African-American","Less than 25","Male",0,6,0
"1908",45,"Felony","African-American","Greater than 45","Male",1,3,0
"1912",31,"Felony","African-American","25 - 45","Male",2,5,1
"1914",36,"Misdemeanor","African-American","25 - 45","Male",3,2,1
"1915",27,"Felony","African-American","25 - 45","Male",7,5,1
"1916",42,"Felony","African-American","25 - 45","Male",1,2,0
"1920",25,"Felony","African-American","25 - 45","Male",21,10,1
"1922",21,"Felony","African-American","Less than 25","Male",0,6,1
"1923",28,"Misdemeanor","African-American","25 - 45","Female",0,2,0
"1924",27,"Felony","African-American","25 - 45","Male",25,10,1
"1931",35,"Felony","African-American","25 - 45","Female",12,7,1
"1932",34,"Felony","African-American","25 - 45","Male",3,1,0
"1933",45,"Felony","African-American","Greater than 45","Male",15,3,1
"1934",28,"Felony","African-American","25 - 45","Male",9,3,1
"1935",25,"Felony","African-American","25 - 45","Female",1,3,0
"1936",21,"Misdemeanor","African-American","Less than 25","Male",1,8,0
"1937",48,"Felony","African-American","Greater than 45","Male",1,1,0
"1939",24,"Felony","African-American","Less than 25","Male",3,6,1
"1944",23,"Felony","African-American","Less than 25","Male",1,2,1
"1946",28,"Misdemeanor","African-American","25 - 45","Male",6,8,1
"1947",53,"Misdemeanor","African-American","Greater than 45","Male",1,2,0
"1948",27,"Misdemeanor","African-American","25 - 45","Female",2,4,1
"1950",47,"Felony","African-American","Greater than 45","Male",22,7,1
"1951",28,"Felony","African-American","25 - 45","Male",4,2,1
"1953",24,"Felony","African-American","Less than 25","Female",1,9,0
"1955",23,"Felony","African-American","Less than 25","Male",3,7,0
"1956",26,"Felony","African-American","25 - 45","Male",2,2,0
"1957",31,"Felony","African-American","25 - 45","Male",7,4,1
"1958",30,"Felony","African-American","25 - 45","Female",14,10,1
"1960",24,"Felony","African-American","Less than 25","Male",6,10,1
"1962",26,"Misdemeanor","African-American","25 - 45","Male",2,4,0
"1964",20,"Felony","African-American","Less than 25","Female",0,5,0
"1966",26,"Felony","African-American","25 - 45","Male",5,7,1
"1970",19,"Felony","African-American","Less than 25","Male",1,10,1
"1972",24,"Felony","African-American","Less than 25","Female",0,3,0
"1978",21,"Felony","African-American","Less than 25","Male",1,2,0
"1979",38,"Felony","African-American","25 - 45","Male",3,5,0
"1983",24,"Felony","African-American","Less than 25","Male",1,2,1
"1985",49,"Felony","African-American","Greater than 45","Male",3,4,0
"1986",31,"Felony","African-American","25 - 45","Male",7,7,1
"1987",20,"Felony","African-American","Less than 25","Male",1,6,1
"1991",52,"Felony","African-American","Greater than 45","Male",0,1,0
"1992",45,"Felony","African-American","Greater than 45","Male",17,7,1
"1993",27,"Felony","African-American","25 - 45","Male",8,7,1
"1997",42,"Felony","African-American","25 - 45","Male",1,1,0
"1998",24,"Felony","African-American","Less than 25","Male",2,3,1
"2000",38,"Felony","African-American","25 - 45","Male",4,3,0
"2006",51,"Misdemeanor","African-American","Greater than 45","Male",1,4,1
"2009",34,"Felony","African-American","25 - 45","Male",1,1,0
"2011",28,"Misdemeanor","African-American","25 - 45","Female",10,7,1
"2012",35,"Misdemeanor","African-American","25 - 45","Male",10,8,1
"2013",30,"Felony","African-American","25 - 45","Male",6,6,1
"2014",44,"Felony","African-American","25 - 45","Male",0,1,0
"2016",26,"Felony","African-American","25 - 45","Male",1,9,1
"2017",48,"Felony","African-American","Greater than 45","Male",10,7,1
"2018",42,"Misdemeanor","African-American","25 - 45","Male",4,1,0
"2021",26,"Misdemeanor","African-American","25 - 45","Male",3,10,0
"2022",22,"Felony","African-American","Less than 25","Male",1,7,1
"2025",24,"Felony","African-American","Less than 25","Male",4,6,1
"2026",21,"Felony","African-American","Less than 25","Male",0,7,1
"2030",54,"Felony","African-American","Greater than 45","Female",7,6,0
"2031",29,"Misdemeanor","African-American","25 - 45","Male",0,2,0
"2033",41,"Felony","African-American","25 - 45","Male",3,4,1
"2034",23,"Felony","African-American","Less than 25","Male",1,6,1
"2037",20,"Felony","African-American","Less than 25","Male",0,3,0
"2038",49,"Felony","African-American","Greater than 45","Male",10,6,1
"2039",26,"Felony","African-American","25 - 45","Male",4,8,1
"2040",28,"Felony","African-American","25 - 45","Male",1,4,1
"2041",26,"Felony","African-American","25 - 45","Male",0,2,0
"2042",55,"Felony","African-American","Greater than 45","Male",1,4,0
"2043",22,"Misdemeanor","African-American","Less than 25","Male",0,9,0
"2044",26,"Misdemeanor","African-American","25 - 45","Female",0,4,0
"2047",58,"Felony","African-American","Greater than 45","Male",16,6,1
"2048",28,"Felony","African-American","25 - 45","Male",4,7,0
"2049",33,"Felony","African-American","25 - 45","Male",8,6,0
"2050",31,"Misdemeanor","African-American","25 - 45","Female",0,2,0
"2051",26,"Misdemeanor","African-American","25 - 45","Male",1,5,0
"2054",32,"Felony","African-American","25 - 45","Female",0,2,0
"2055",37,"Felony","African-American","25 - 45","Male",9,6,1
"2056",50,"Felony","African-American","Greater than 45","Male",1,5,0
"2059",52,"Felony","African-American","Greater than 45","Female",8,9,0
"2060",26,"Felony","African-American","25 - 45","Male",5,7,1
"2061",45,"Felony","African-American","Greater than 45","Male",13,1,1
"2063",41,"Felony","African-American","25 - 45","Male",8,2,1
"2064",24,"Misdemeanor","African-American","Less than 25","Male",0,2,0
"2065",21,"Felony","African-American","Less than 25","Male",1,9,0
"2069",21,"Felony","African-American","Less than 25","Male",1,4,1
"2073",39,"Felony","African-American","25 - 45","Female",1,1,0
"2074",38,"Felony","African-American","25 - 45","Female",0,1,0
"2075",19,"Felony","African-American","Less than 25","Male",1,7,1
"2077",25,"Felony","African-American","25 - 45","Male",1,6,1
"2079",23,"Felony","African-American","Less than 25","Male",2,9,0
"2082",23,"Misdemeanor","African-American","Less than 25","Male",1,7,1
"2083",23,"Felony","African-American","Less than 25","Male",4,8,1
"2086",34,"Felony","African-American","25 - 45","Male",0,1,0
"2088",26,"Misdemeanor","African-American","25 - 45","Male",1,1,0
"2093",36,"Felony","African-American","25 - 45","Male",15,5,0
"2094",23,"Felony","African-American","Less than 25","Male",1,4,0
"2095",56,"Misdemeanor","African-American","Greater than 45","Male",1,1,0
"2098",32,"Felony","African-American","25 - 45","Male",1,8,1
"2099",41,"Misdemeanor","African-American","25 - 45","Male",18,10,1
"2100",22,"Felony","African-American","Less than 25","Male",1,6,1
"2102",45,"Misdemeanor","African-American","Greater than 45","Male",3,2,0
"2103",31,"Felony","African-American","25 - 45","Female",14,8,0
"2104",42,"Felony","African-American","25 - 45","Male",7,5,1
"2105",26,"Felony","African-American","25 - 45","Male",20,9,1
"2108",36,"Misdemeanor","African-American","25 - 45","Female",1,1,0
"2110",25,"Felony","African-American","25 - 45","Male",5,9,1
"2116",27,"Misdemeanor","African-American","25 - 45","Male",1,5,0
"2118",32,"Felony","African-American","25 - 45","Male",16,10,1
"2121",27,"Felony","African-American","25 - 45","Male",1,7,1
"2126",46,"Felony","African-American","Greater than 45","Male",0,7,1
"2127",44,"Felony","African-American","25 - 45","Male",7,6,0
"2128",27,"Misdemeanor","African-American","25 - 45","Male",0,2,0
"2129",27,"Felony","African-American","25 - 45","Male",8,7,1
"2131",47,"Misdemeanor","African-American","Greater than 45","Male",0,1,1
"2132",27,"Misdemeanor","African-American","25 - 45","Male",1,1,0
"2136",53,"Felony","African-American","Greater than 45","Male",2,2,1
"2137",26,"Felony","African-American","25 - 45","Male",1,5,1
"2138",25,"Felony","African-American","25 - 45","Male",2,4,0
"2140",21,"Misdemeanor","African-American","Less than 25","Female",4,8,1
"2141",23,"Misdemeanor","African-American","Less than 25","Male",1,4,0
"2143",45,"Felony","African-American","Greater than 45","Female",2,3,0
"2144",27,"Misdemeanor","African-American","25 - 45","Male",2,5,1
"2145",26,"Misdemeanor","African-American","25 - 45","Female",0,2,0
"2149",53,"Misdemeanor","African-American","Greater than 45","Male",1,1,0
"2150",62,"Misdemeanor","African-American","Greater than 45","Male",3,3,1
"2151",28,"Felony","African-American","25 - 45","Male",5,10,0
"2155",22,"Felony","African-American","Less than 25","Male",2,7,1
"2156",26,"Felony","African-American","25 - 45","Male",5,8,1
"2157",35,"Misdemeanor","African-American","25 - 45","Male",4,5,0
"2158",22,"Felony","African-American","Less than 25","Male",1,3,1
"2159",37,"Felony","African-American","25 - 45","Female",7,3,0
"2160",32,"Felony","African-American","25 - 45","Female",0,2,0
"2161",33,"Felony","African-American","25 - 45","Female",3,6,1
"2167",21,"Misdemeanor","African-American","Less than 25","Male",0,10,0
"2168",69,"Misdemeanor","African-American","Greater than 45","Male",22,5,0
"2169",26,"Misdemeanor","African-American","25 - 45","Male",0,4,0
"2170",30,"Felony","African-American","25 - 45","Male",9,10,1
"2173",45,"Felony","African-American","Greater than 45","Male",0,6,1
"2174",31,"Felony","African-American","25 - 45","Male",10,5,1
"2179",21,"Felony","African-American","Less than 25","Female",0,8,1
"2182",30,"Felony","African-American","25 - 45","Male",11,8,1
"2184",59,"Misdemeanor","African-American","Greater than 45","Female",0,2,0
"2185",29,"Felony","African-American","25 - 45","Male",13,8,1
"2188",25,"Misdemeanor","African-American","25 - 45","Male",5,5,1
"2190",22,"Felony","African-American","Less than 25","Male",0,3,0
"2191",41,"Felony","African-American","25 - 45","Male",8,1,1
"2194",37,"Felony","African-American","25 - 45","Female",13,6,0
"2195",22,"Felony","African-American","Less than 25","Male",0,3,1
"2196",19,"Felony","African-American","Less than 25","Male",0,4,1
"2198",33,"Felony","African-American","25 - 45","Female",5,9,1
"2199",52,"Felony","African-American","Greater than 45","Male",7,5,0
"2200",21,"Felony","African-American","Less than 25","Female",0,6,0
"2201",43,"Misdemeanor","African-American","25 - 45","Male",6,10,1
"2203",26,"Felony","African-American","25 - 45","Male",3,10,1
"2205",38,"Felony","African-American","25 - 45","Male",1,1,1
"2207",27,"Felony","African-American","25 - 45","Male",1,2,1
"2209",21,"Felony","African-American","Less than 25","Male",1,5,0
"2213",30,"Felony","African-American","25 - 45","Male",0,2,0
"2217",59,"Felony","African-American","Greater than 45","Male",14,8,1
"2218",21,"Felony","African-American","Less than 25","Male",1,10,1
"2221",30,"Felony","African-American","25 - 45","Male",7,3,0
"2223",48,"Felony","African-American","Greater than 45","Male",7,7,1
"2226",34,"Misdemeanor","African-American","25 - 45","Male",0,7,1
"2227",43,"Misdemeanor","African-American","25 - 45","Male",4,5,1
"2228",44,"Felony","African-American","25 - 45","Male",0,1,0
"2231",32,"Misdemeanor","African-American","25 - 45","Female",0,3,1
"2236",24,"Felony","African-American","Less than 25","Male",1,3,1
"2237",34,"Felony","African-American","25 - 45","Male",0,7,1
"2238",48,"Felony","African-American","Greater than 45","Male",2,1,1
"2239",41,"Felony","African-American","25 - 45","Male",1,1,0
"2240",26,"Misdemeanor","African-American","25 - 45","Male",12,9,1
"2241",42,"Felony","African-American","25 - 45","Male",0,5,1
"2242",29,"Misdemeanor","African-American","25 - 45","Male",0,5,0
"2244",27,"Felony","African-American","25 - 45","Female",1,3,0
"2247",20,"Felony","African-American","Less than 25","Male",0,6,0
"2249",21,"Felony","African-American","Less than 25","Male",1,7,0
"2251",34,"Felony","African-American","25 - 45","Male",11,8,1
"2252",54,"Misdemeanor","African-American","Greater than 45","Male",0,1,0
"2254",39,"Felony","African-American","25 - 45","Male",1,1,0
"2257",35,"Misdemeanor","African-American","25 - 45","Female",0,4,0
"2259",53,"Misdemeanor","African-American","Greater than 45","Male",0,1,0
"2261",26,"Felony","African-American","25 - 45","Male",0,8,0
"2262",31,"Felony","African-American","25 - 45","Male",3,5,0
"2266",28,"Felony","African-American","25 - 45","Male",1,7,0
"2270",36,"Felony","African-American","25 - 45","Male",6,5,0
"2271",22,"Felony","African-American","Less than 25","Male",0,3,0
"2272",28,"Felony","African-American","25 - 45","Male",2,5,1
"2273",37,"Misdemeanor","African-American","25 - 45","Male",3,2,0
"2282",37,"Misdemeanor","African-American","25 - 45","Male",2,1,0
"2283",41,"Felony","African-American","25 - 45","Male",0,1,0
"2285",41,"Felony","African-American","25 - 45","Male",13,5,0
"2286",33,"Felony","African-American","25 - 45","Male",6,6,0
"2288",23,"Felony","African-American","Less than 25","Male",0,5,0
"2291",30,"Felony","African-American","25 - 45","Male",10,9,0
"2293",26,"Misdemeanor","African-American","25 - 45","Male",13,10,1
"2294",35,"Felony","African-American","25 - 45","Male",0,3,0
"2295",20,"Misdemeanor","African-American","Less than 25","Male",1,4,0
"2297",31,"Misdemeanor","African-American","25 - 45","Male",8,10,1
"2298",55,"Felony","African-American","Greater than 45","Male",0,1,1
"2301",41,"Felony","African-American","25 - 45","Male",25,9,1
"2302",56,"Misdemeanor","African-American","Greater than 45","Male",9,8,0
"2303",21,"Felony","African-American","Less than 25","Male",1,3,0
"2309",28,"Felony","African-American","25 - 45","Female",3,5,0
"2310",30,"Felony","African-American","25 - 45","Male",0,2,1
"2311",19,"Misdemeanor","African-American","Less than 25","Female",0,8,1
"2312",20,"Misdemeanor","African-American","Less than 25","Male",0,4,1
"2314",51,"Misdemeanor","African-American","Greater than 45","Male",8,6,1
"2315",27,"Felony","African-American","25 - 45","Male",5,3,1
"2316",26,"Felony","African-American","25 - 45","Male",0,5,0
"2318",35,"Misdemeanor","African-American","25 - 45","Male",14,8,1
"2319",37,"Felony","African-American","25 - 45","Male",5,6,0
"2320",48,"Felony","African-American","Greater than 45","Male",0,1,0
"2321",21,"Felony","African-American","Less than 25","Male",0,9,0
"2322",52,"Misdemeanor","African-American","Greater than 45","Male",1,1,0
"2323",22,"Felony","African-American","Less than 25","Male",0,4,1
"2326",54,"Misdemeanor","African-American","Greater than 45","Male",0,1,1
"2327",25,"Felony","African-American","25 - 45","Male",13,10,1
"2329",22,"Felony","African-American","Less than 25","Male",0,7,0
"2333",21,"Felony","African-American","Less than 25","Male",0,7,0
"2335",22,"Felony","African-American","Less than 25","Male",0,3,1
"2342",26,"Misdemeanor","African-American","25 - 45","Male",9,10,1
"2343",30,"Felony","African-American","25 - 45","Male",9,6,1
"2344",25,"Misdemeanor","African-American","25 - 45","Male",3,8,1
"2346",31,"Misdemeanor","African-American","25 - 45","Female",0,6,1
"2347",32,"Felony","African-American","25 - 45","Female",0,3,0
"2348",37,"Felony","African-American","25 - 45","Male",22,9,1
"2350",38,"Misdemeanor","African-American","25 - 45","Male",8,6,1
"2352",30,"Felony","African-American","25 - 45","Male",7,3,0
"2354",36,"Felony","African-American","25 - 45","Male",10,10,1
"2357",35,"Felony","African-American","25 - 45","Male",0,1,0
"2359",30,"Felony","African-American","25 - 45","Female",9,9,1
"2360",34,"Felony","African-American","25 - 45","Male",16,9,1
"2366",36,"Misdemeanor","African-American","25 - 45","Male",5,5,1
"2367",39,"Misdemeanor","African-American","25 - 45","Male",2,1,0
"2368",51,"Felony","African-American","Greater than 45","Male",9,9,1
"2369",35,"Felony","African-American","25 - 45","Male",7,2,1
"2372",37,"Misdemeanor","African-American","25 - 45","Male",0,3,0
"2373",25,"Misdemeanor","African-American","25 - 45","Male",3,6,0
"2374",27,"Felony","African-American","25 - 45","Female",0,3,0
"2376",46,"Misdemeanor","African-American","Greater than 45","Male",12,6,0
"2378",34,"Felony","African-American","25 - 45","Male",0,9,1
"2380",26,"Misdemeanor","African-American","25 - 45","Male",5,5,0
"2381",25,"Felony","African-American","25 - 45","Male",1,4,1
"2382",60,"Felony","African-American","Greater than 45","Male",9,8,0
"2384",30,"Felony","African-American","25 - 45","Male",12,9,1
"2385",21,"Felony","African-American","Less than 25","Male",0,4,0
"2386",25,"Felony","African-American","25 - 45","Male",4,8,1
"2387",21,"Felony","African-American","Less than 25","Male",0,4,1
"2389",29,"Misdemeanor","African-American","25 - 45","Male",4,4,0
"2393",29,"Misdemeanor","African-American","25 - 45","Male",1,1,0
"2399",25,"Felony","African-American","25 - 45","Male",5,8,0
"2401",22,"Felony","African-American","Less than 25","Male",3,10,1
"2402",21,"Felony","African-American","Less than 25","Male",1,8,0
"2404",27,"Misdemeanor","African-American","25 - 45","Male",6,8,1
"2405",28,"Misdemeanor","African-American","25 - 45","Male",14,7,1
"2406",49,"Misdemeanor","African-American","Greater than 45","Male",6,4,1
"2407",52,"Felony","African-American","Greater than 45","Male",7,9,1
"2408",25,"Misdemeanor","African-American","25 - 45","Male",1,6,0
"2410",34,"Felony","African-American","25 - 45","Male",22,9,0
"2412",23,"Misdemeanor","African-American","Less than 25","Male",1,3,1
"2414",23,"Felony","African-American","Less than 25","Male",0,8,1
"2415",30,"Misdemeanor","African-American","25 - 45","Male",4,10,0
"2416",42,"Misdemeanor","African-American","25 - 45","Male",1,6,1
"2417",50,"Misdemeanor","African-American","Greater than 45","Male",24,8,1
"2419",37,"Felony","African-American","25 - 45","Male",0,9,0
"2420",23,"Felony","African-American","Less than 25","Male",1,4,0
"2422",50,"Felony","African-American","Greater than 45","Male",5,2,0
"2424",26,"Felony","African-American","25 - 45","Male",2,2,1
"2426",23,"Felony","African-American","Less than 25","Male",2,8,1
"2428",24,"Felony","African-American","Less than 25","Male",0,6,1
"2431",37,"Misdemeanor","African-American","25 - 45","Male",1,7,1
"2435",35,"Misdemeanor","African-American","25 - 45","Female",3,6,1
"2437",29,"Felony","African-American","25 - 45","Male",2,9,0
"2439",20,"Misdemeanor","African-American","Less than 25","Male",1,5,1
"2441",23,"Felony","African-American","Less than 25","Male",3,8,1
"2444",53,"Misdemeanor","African-American","Greater than 45","Male",18,7,1
"2445",21,"Felony","African-American","Less than 25","Male",1,9,1
"2446",27,"Misdemeanor","African-American","25 - 45","Male",3,3,1
"2447",28,"Felony","African-American","25 - 45","Male",6,9,1
"2451",28,"Misdemeanor","African-American","25 - 45","Male",3,2,0
"2452",24,"Misdemeanor","African-American","Less than 25","Male",0,5,0
"2454",37,"Felony","African-American","25 - 45","Male",2,4,1
"2456",44,"Felony","African-American","25 - 45","Male",0,2,0
"2458",40,"Felony","African-American","25 - 45","Male",6,7,0
"2461",42,"Felony","African-American","25 - 45","Male",3,1,0
"2464",47,"Misdemeanor","African-American","Greater than 45","Male",1,1,1
"2468",53,"Felony","African-American","Greater than 45","Female",10,2,1
"2469",29,"Felony","African-American","25 - 45","Male",0,9,0
"2478",23,"Felony","African-American","Less than 25","Male",4,10,1
"2486",22,"Felony","African-American","Less than 25","Female",1,5,0
"2487",24,"Felony","African-American","Less than 25","Male",2,3,1
"2488",35,"Felony","African-American","25 - 45","Male",0,4,0
"2489",21,"Felony","African-American","Less than 25","Male",0,3,0
"2491",26,"Felony","African-American","25 - 45","Male",6,9,1
"2492",30,"Felony","African-American","25 - 45","Male",7,9,1
"2493",30,"Felony","African-American","25 - 45","Male",5,4,1
"2496",37,"Misdemeanor","African-American","25 - 45","Male",3,2,0
"2497",34,"Felony","African-American","25 - 45","Female",1,7,1
"2501",30,"Misdemeanor","African-American","25 - 45","Male",0,1,1
"2502",25,"Misdemeanor","African-American","25 - 45","Male",0,2,0
"2503",60,"Felony","African-American","Greater than 45","Male",19,8,1
"2504",56,"Felony","African-American","Greater than 45","Male",24,8,0
"2505",33,"Misdemeanor","African-American","25 - 45","Male",2,1,0
"2507",32,"Felony","African-American","25 - 45","Male",6,7,1
"2508",24,"Felony","African-American","Less than 25","Male",3,3,1
"2511",25,"Felony","African-American","25 - 45","Male",1,4,1
"2512",20,"Felony","African-American","Less than 25","Female",0,4,0
"2513",32,"Felony","African-American","25 - 45","Male",9,9,0
"2514",49,"Felony","African-American","Greater than 45","Female",0,1,0
"2515",22,"Felony","African-American","Less than 25","Male",1,3,0
"2516",24,"Felony","African-American","Less than 25","Male",0,3,0
"2518",29,"Misdemeanor","African-American","25 - 45","Male",1,2,1
"2520",26,"Felony","African-American","25 - 45","Female",3,5,0
"2521",21,"Felony","African-American","Less than 25","Male",0,7,1
"2523",59,"Felony","African-American","Greater than 45","Male",1,1,0
"2524",22,"Felony","African-American","Less than 25","Male",0,8,1
"2526",64,"Felony","African-American","Greater than 45","Male",20,7,0
"2528",22,"Felony","African-American","Less than 25","Female",0,4,0
"2529",24,"Felony","African-American","Less than 25","Male",5,3,1
"2530",30,"Felony","African-American","25 - 45","Female",3,6,1
"2538",32,"Misdemeanor","African-American","25 - 45","Female",0,2,0
"2540",41,"Felony","African-American","25 - 45","Male",8,4,0
"2542",27,"Misdemeanor","African-American","25 - 45","Male",2,5,1
"2543",32,"Felony","African-American","25 - 45","Male",0,1,1
"2544",40,"Misdemeanor","African-American","25 - 45","Male",24,8,1
"2546",33,"Misdemeanor","African-American","25 - 45","Female",3,4,0
"2549",28,"Misdemeanor","African-American","25 - 45","Male",9,5,0
"2550",25,"Felony","African-American","25 - 45","Female",0,5,1
"2551",30,"Misdemeanor","African-American","25 - 45","Female",1,4,0
"2552",47,"Misdemeanor","African-American","Greater than 45","Female",0,2,0
"2555",52,"Felony","African-American","Greater than 45","Male",0,4,1
"2556",25,"Felony","African-American","25 - 45","Male",5,10,1
"2557",46,"Misdemeanor","African-American","Greater than 45","Female",7,8,0
"2560",24,"Felony","African-American","Less than 25","Male",2,3,1
"2563",21,"Misdemeanor","African-American","Less than 25","Male",0,10,1
"2565",29,"Felony","African-American","25 - 45","Male",5,7,1
"2566",52,"Misdemeanor","African-American","Greater than 45","Male",0,1,1
"2567",29,"Felony","African-American","25 - 45","Male",5,10,0
"2568",59,"Felony","African-American","Greater than 45","Male",13,2,1
"2569",39,"Felony","African-American","25 - 45","Male",2,3,0
"2572",20,"Felony","African-American","Less than 25","Male",1,10,1
"2574",27,"Felony","African-American","25 - 45","Male",7,9,1
"2575",27,"Misdemeanor","African-American","25 - 45","Male",0,1,0
"2577",24,"Misdemeanor","African-American","Less than 25","Female",2,6,0
"2578",24,"Felony","African-American","Less than 25","Male",4,9,1
"2582",32,"Felony","African-American","25 - 45","Male",2,8,1
"2586",28,"Felony","African-American","25 - 45","Male",7,10,1
"2588",20,"Felony","African-American","Less than 25","Female",1,6,1
"2589",36,"Felony","African-American","25 - 45","Male",2,1,1
"2591",25,"Felony","African-American","25 - 45","Male",10,10,1
"2593",32,"Misdemeanor","African-American","25 - 45","Male",12,10,1
"2598",38,"Felony","African-American","25 - 45","Male",0,8,0
"2599",21,"Felony","African-American","Less than 25","Male",1,9,1
"2601",34,"Misdemeanor","African-American","25 - 45","Male",5,6,0
"2603",21,"Felony","African-American","Less than 25","Male",0,8,0
"2604",43,"Misdemeanor","African-American","25 - 45","Male",8,2,0
"2607",21,"Misdemeanor","African-American","Less than 25","Female",0,4,0
"2608",28,"Felony","African-American","25 - 45","Male",5,5,1
"2612",20,"Misdemeanor","African-American","Less than 25","Male",0,3,1
"2615",63,"Felony","African-American","Greater than 45","Male",6,3,0
"2618",21,"Felony","African-American","Less than 25","Male",1,10,1
"2622",50,"Misdemeanor","African-American","Greater than 45","Female",0,1,0
"2626",23,"Misdemeanor","African-American","Less than 25","Male",0,3,0
"2627",54,"Felony","African-American","Greater than 45","Male",10,6,0
"2631",52,"Misdemeanor","African-American","Greater than 45","Male",3,3,1
"2633",21,"Misdemeanor","African-American","Less than 25","Male",0,9,1
"2635",56,"Felony","African-American","Greater than 45","Male",6,2,0
"2636",35,"Felony","African-American","25 - 45","Male",12,8,1
"2639",23,"Felony","African-American","Less than 25","Male",2,5,1
"2641",64,"Misdemeanor","African-American","Greater than 45","Female",1,1,1
"2644",21,"Felony","African-American","Less than 25","Male",0,5,1
"2645",21,"Felony","African-American","Less than 25","Male",0,5,0
"2646",23,"Felony","African-American","Less than 25","Male",0,7,0
"2647",46,"Felony","African-American","Greater than 45","Male",3,4,0
"2648",25,"Felony","African-American","25 - 45","Male",21,9,1
"2650",30,"Misdemeanor","African-American","25 - 45","Female",0,3,0
"2653",47,"Felony","African-American","Greater than 45","Male",1,1,0
"2654",39,"Felony","African-American","25 - 45","Male",1,2,1
"2661",24,"Felony","African-American","Less than 25","Male",0,10,0
"2662",23,"Felony","African-American","Less than 25","Male",1,7,0
"2665",38,"Felony","African-American","25 - 45","Male",3,2,1
"2669",40,"Felony","African-American","25 - 45","Male",15,8,0
"2670",44,"Felony","African-American","25 - 45","Male",0,2,0
